rowID	flag_feature2
row0	0
row1	0
row2	0
row3	0
row4	0
row5	0
row6	0
row7	1
row8	1
row9	0
row10	0
row11	0
row12	0
row13	0
row14	0
row15	0
row16	0
row17	0
row18	0
row19	0
row20	0
row21	0
row22	1
row23	0
row24	1
row25	0
row26	0
row27	0
row28	1
row29	0
row30	0
row31	0
row32	1
row33	0
row34	0
row35	0
row36	0
row37	0
row38	0
row39	0
row40	0
row41	0
row42	0
row43	0
row44	0
row45	0
row46	0
row47	0
row48	0
row49	0
row50	0
row51	0
row52	0
row53	1
row54	0
row55	0
row56	0
row57	1
row58	0
row59	0
row60	0
row61	0
row62	0
row63	0
row64	0
row65	0
row66	0
row67	0
row68	0
row69	0
row70	0
row71	0
row72	1
row73	0
row74	0
row75	0
row76	0
row77	0
row78	0
row79	0
row80	0
row81	0
row82	0
row83	0
row84	0
row85	0
row86	0
row87	0
row88	0
row89	0
row90	0
row91	0
row92	0
row93	0
row94	0
row95	0
row96	0
row97	0
row98	0
row99	0
row100	0
row101	0
row102	0
row103	1
row104	0
row105	0
row106	0
row107	0
row108	0
row109	0
row110	0
row111	0
row112	0
row113	1
row114	0
row115	0
row116	1
row117	1
row118	0
row119	0
row120	0
row121	0
row122	0
row123	0
row124	0
row125	0
row126	0
row127	0
row128	0
row129	0
row130	0
row131	0
row132	0
row133	0
row134	0
row135	0
row136	0
row137	0
row138	0
row139	0
row140	0
row141	0
row142	1
row143	0
row144	0
row145	0
row146	1
row147	0
row148	1
row149	0
row150	1
row151	0
row152	0
row153	0
row154	0
row155	0
row156	0
row157	0
row158	0
row159	0
row160	0
row161	0
row162	0
row163	0
row164	1
row165	0
row166	1
row167	0
row168	0
row169	0
row170	0
row171	1
row172	0
row173	0
row174	0
row175	0
row176	0
row177	0
row178	0
row179	0
row180	0
row181	0
row182	0
row183	1
row184	0
row185	0
row186	0
row187	0
row188	0
row189	0
row190	1
row191	0
row192	0
row193	0
row194	0
row195	0
row196	0
